Date,NAICS Description,Value,LastUpdated
2006,"Provincial & municipal government, education & health",36574200000.0,2024-12-29T04:16:14.672091
2006,"Transportation, communication & utilities",17097200000.0,2024-12-29T04:16:14.672091
2006,Wholesale and retail,23789500000.0,2024-12-29T04:16:14.672091
2007,Agriculture & forestry,4691500000.0,2024-12-29T04:16:14.672091
2007,All industries,262758000000.0,2024-12-29T04:16:14.672091
2007,Business & professional services,53762100000.0,2024-12-29T04:16:14.672091
2007,Construction & construction trades,55488700000.0,2024-12-29T04:16:14.672091
2007,"Manufacturing, packaging & processing",25558000000.0,2024-12-29T04:16:14.672091
2007,Mining & petroleum development,42825500000.0,2024-12-29T04:16:14.672091
2007,"Provincial & municipal government, education & health",38178400000.0,2024-12-29T04:16:14.672091
2007,"Transportation, communication & utilities",17082700000.0,2024-12-29T04:16:14.672091
2007,Wholesale and retail,24936900000.0,2024-12-29T04:16:14.672091
2008,Agriculture & forestry,5466000000.0,2024-12-29T04:16:14.672091
2008,All industries,266188600000.0,2024-12-29T04:16:14.672091
2008,Business & professional services,55682500000.0,2024-12-29T04:16:14.672091
2008,Construction & construction trades,58379700000.0,2024-12-29T04:16:14.672091
2008,"Manufacturing, packaging & processing",25185100000.0,2024-12-29T04:16:14.672091
2008,Mining & petroleum development,41587600000.0,2024-12-29T04:16:14.672091
2008,"Provincial & municipal government, education & health",40022300000.0,2024-12-29T04:16:14.672091
2008,"Transportation, communication & utilities",16679500000.0,2024-12-29T04:16:14.672091
2008,Wholesale and retail,25154100000.0,2024-12-29T04:16:14.672091
2009,Agriculture & forestry,4668300000.0,2024-12-29T04:16:14.672091
2009,All industries,251999200000.0,2024-12-29T04:16:14.672091
2009,Business & professional services,54759900000.0,2024-12-29T04:16:14.672091
2009,Construction & construction trades,51854300000.0,2024-12-29T04:16:14.672091
2009,"Manufacturing, packaging & processing",20947300000.0,2024-12-29T04:16:14.672091
2009,Mining & petroleum development,40015100000.0,2024-12-29T04:16:14.672091
2009,"Provincial & municipal government, education & health",41664900000.0,2024-12-29T04:16:14.672091
2009,"Transportation, communication & utilities",16020000000.0,2024-12-29T04:16:14.672091
2009,Wholesale and retail,23273400000.0,2024-12-29T04:16:14.672091
2010,Agriculture & forestry,5149700000.0,2024-12-29T04:16:14.672091
2010,All industries,264882800000.0,2024-12-29T04:16:14.672091
2010,Business & professional services,55029500000.0,2024-12-29T04:16:14.672091
2010,Construction & construction trades,57592500000.0,2024-12-29T04:16:14.672091
2010,"Manufacturing, packaging & processing",22243800000.0,2024-12-29T04:16:14.672091
2010,Mining & petroleum development,42447800000.0,2024-12-29T04:16:14.672091
2010,"Provincial & municipal government, education & health",42289100000.0,2024-12-29T04:16:14.672091
2010,"Transportation, communication & utilities",16524500000.0,2024-12-29T04:16:14.672091
2010,Wholesale and retail,24443500000.0,2024-12-29T04:16:14.672091
2011,Agriculture & forestry,5446700000.0,2024-12-29T04:16:14.672091
2011,All industries,282733400000.0,2024-12-29T04:16:14.672091
2011,Business & professional services,58099800000.0,2024-12-29T04:16:14.672091
2011,Construction & construction trades,61884100000.0,2024-12-29T04:16:14.672091
2011,"Manufacturing, packaging & processing",24553300000.0,2024-12-29T04:16:14.672091
2011,Mining & petroleum development,45321200000.0,2024-12-29T04:16:14.672091
2011,"Provincial & municipal government, education & health",43364500000.0,2024-12-29T04:16:14.672091
2011,"Transportation, communication & utilities",17579600000.0,2024-12-29T04:16:14.672091
2011,Wholesale and retail,27342700000.0,2024-12-29T04:16:14.672091
2012,Agriculture & forestry,5353900000.0,2024-12-29T04:16:14.672091
2012,All industries,294039200000.0,2024-12-29T04:16:14.672091
2012,Business & professional services,60646500000.0,2024-12-29T04:16:14.672091
2012,Construction & construction trades,67339600000.0,2024-12-29T04:16:14.672091
2012,"Manufacturing, packaging & processing",24525500000.0,2024-12-29T04:16:14.672091
2012,Mining & petroleum development,45788400000.0,2024-12-29T04:16:14.672091
2012,"Provincial & municipal government, education & health",44977500000.0,2024-12-29T04:16:14.672091
2012,"Transportation, communication & utilities",18427900000.0,2024-12-29T04:16:14.672091
