Date,GeoID,GeoName,NAICS,NAICS Description,Prices,Value
2000,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,11160300000.0
2000,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1400400000.0
2000,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5179500000.0
2000,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,3681300000.0
2000,48,Alberta,91,Public administration,Chained (2017) dollars,10407800000.0
2001,48,Alberta,T001,All industries,Chained (2017) dollars,205892100000.0
2001,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,3741100000.0
2001,48,Alberta,61,Educational services,Chained (2017) dollars,8482100000.0
2001,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,4605700000.0
2001,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,1737400000.0
2001,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,11120400000.0
2001,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,19571900000.0
2001,48,Alberta,52,Finance and insurance,Chained (2017) dollars,7131700000.0
2001,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,4374900000.0
2001,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,9962000000.0
2001,48,Alberta,44-45,Retail trade,Chained (2017) dollars,7763200000.0
2001,48,Alberta,41,Wholesale trade,Chained (2017) dollars,9442100000.0
2001,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,21012300000.0
2001,48,Alberta,23,Construction,Chained (2017) dollars,17775400000.0
2001,48,Alberta,22,Utilities,Chained (2017) dollars,3556800000.0
2001,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,39221100000.0
2001,48,Alberta,91,Public administration,Chained (2017) dollars,10215400000.0
2001,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,4065600000.0
2001,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5154100000.0
2001,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1354500000.0
2001,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,11529800000.0
2002,48,Alberta,61,Educational services,Chained (2017) dollars,9181800000.0
2002,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,4824900000.0
2002,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,1941500000.0
2002,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,11671300000.0
2002,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,20845400000.0
2002,48,Alberta,52,Finance and insurance,Chained (2017) dollars,7330500000.0
2002,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,4547100000.0
2002,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,10172800000.0
2002,48,Alberta,44-45,Retail trade,Chained (2017) dollars,8436500000.0
2002,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,12408100000.0
